"","PLAYER_ID","PLAYER_NAME","CLASS","GP","G","SHOT_TYPE","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT"
"266","203507","Giannis Antetokounmpo","ShotClockShooting",46,44,"18-22",0.181,2.09,2.91,0.716,0.728,0.166,2.02,2.67,0.756,0.015,0.07,0.24,0.273
"267","203507","Giannis Antetokounmpo","ShotClockShooting",46,41,"15-18",0.138,1.15,2.22,0.52,0.529,0.119,1.11,1.91,0.58,0.019,0.04,0.3,0.143
"268","203507","Giannis Antetokounmpo","ShotClockShooting",46,46,"07-15",0.399,2.85,6.43,0.443,0.48,0.327,2.37,5.26,0.45,0.073,0.48,1.17,0.407
"269","203507","Giannis Antetokounmpo","ShotClockShooting",46,37,"04-07",0.107,0.85,1.72,0.494,0.5,0.089,0.83,1.43,0.576,0.018,0.02,0.28,0.077
"270","203507","Giannis Antetokounmpo","ShotClockShooting",46,30,"00-04",0.073,0.5,1.17,0.426,0.454,0.054,0.43,0.87,0.5,0.019,0.07,0.3,0.214
"271","203507","Giannis Antetokounmpo","ShotClockShooting",46,16,"ShotClock Off",0.03,0.24,0.48,0.5,0.545,0.02,0.2,0.33,0.6,0.009,0.04,0.15,0.286
"272","203507","Giannis Antetokounmpo","ShotClockShooting",46,1,"Not Captured",0.003,0.02,0.04,0.5,0.5,0.003,0.02,0.04,0.5,0,0,0,NA
"273","203507","Giannis Antetokounmpo","DribbleShooting",46,46,"0 Dribbles",0.389,3.85,6.26,0.615,0.655,0.285,3.35,4.59,0.73,0.104,0.5,1.67,0.299
"274","203507","Giannis Antetokounmpo","DribbleShooting",46,36,"1 Dribble",0.138,1.04,2.22,0.471,0.48,0.123,1,1.98,0.505,0.015,0.04,0.24,0.182
"275","203507","Giannis Antetokounmpo","DribbleShooting",46,41,"2 Dribbles",0.117,0.91,1.89,0.483,0.5,0.109,0.85,1.76,0.481,0.008,0.07,0.13,0.5
"276","203507","Giannis Antetokounmpo","DribbleShooting",46,46,"3-6 Dribbles",0.25,1.98,4.02,0.492,0.5,0.229,1.91,3.7,0.518,0.02,0.07,0.33,0.2
"277","203507","Giannis Antetokounmpo","DribbleShooting",46,36,"7+ Dribbles",0.107,0.74,1.72,0.43,0.449,0.097,0.67,1.57,0.431,0.009,0.07,0.15,0.429
"278","203507","Giannis Antetokounmpo","ClosestDefenderShooting",46,45,"0-2 very tight",0.223,2.13,3.59,0.594,0.594,0.221,2.13,3.57,0.598,0.001,0,0.02,0
"279","203507","Giannis Antetokounmpo","ClosestDefenderShooting",46,45,"2-4 tight",0.414,3.78,6.67,0.567,0.575,0.399,3.67,6.43,0.571,0.015,0.11,0.24,0.455
"280","203507","Giannis Antetokounmpo","ClosestDefenderShooting",46,44,"4-6 open",0.225,1.61,3.63,0.443,0.464,0.17,1.46,2.74,0.532,0.055,0.15,0.89,0.171
"281","203507","Giannis Antetokounmpo","ClosestDefenderShooting",46,42,"6+ wide open",0.138,1,2.22,0.451,0.559,0.053,0.52,0.85,0.615,0.085,0.48,1.37,0.349
"282","203507","Giannis Antetokounmpo","ClosestDefender10ftPlusShooting",46,10,"0-2 very tight",0.016,0.09,0.26,0.333,0.333,0.015,0.09,0.24,0.364,0.001,0,0.02,0
"283","203507","Giannis Antetokounmpo","ClosestDefender10ftPlusShooting",46,32,"2-4 tight",0.081,0.39,1.3,0.3,0.342,0.066,0.28,1.07,0.265,0.015,0.11,0.24,0.455
"284","203507","Giannis Antetokounmpo","ClosestDefender10ftPlusShooting",46,40,"4-6 open",0.154,0.85,2.48,0.342,0.373,0.099,0.7,1.59,0.438,0.055,0.15,0.89,0.171
"285","203507","Giannis Antetokounmpo","ClosestDefender10ftPlusShooting",46,39,"6+ wide open",0.119,0.7,1.91,0.364,0.489,0.034,0.22,0.54,0.4,0.085,0.48,1.37,0.349
"286","203507","Giannis Antetokounmpo","TouchTimeShooting",46,46,"Touch < 2 Seconds",0.409,4.17,6.59,0.634,0.672,0.309,3.67,4.98,0.738,0.1,0.5,1.61,0.311
"287","203507","Giannis Antetokounmpo","TouchTimeShooting",46,46,"Touch 2-6 Seconds",0.404,2.96,6.5,0.455,0.468,0.363,2.78,5.85,0.476,0.04,0.17,0.65,0.267
"288","203507","Giannis Antetokounmpo","TouchTimeShooting",46,45,"Touch 6+ Seconds",0.188,1.39,3.02,0.46,0.471,0.171,1.33,2.76,0.48,0.016,0.07,0.26,0.25
